Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Artificial Intelligence & Machine Learning Data Scientist,40 k € - 45 k € (Esti. de Glassdoor),"Artificial Intelligence & Machine Learning Data Scientist
Clamart - France

Job Title:
Artificial Intelligence & Machine Learning Data Scientist

Location:",3.8,"Schlumberger
3.8",Clamart,Plus de 10 000 employés,1926,Entreprise cotée en bourse,Services pétroliers et gaziers,"Pétrole, gaz, énergie et services publics",Plus de 10 milliards de dollars US
Data Scientist H/F,40 k € - 45 k € (Esti. de Glassdoor),"nöus
umlaut, part of Accenture, est un partenaire mondial de bout en bout de 5000 personnes qui offre des services complets dans tous les secteurs d'activité et qui met en œuvre ses capacités de conseil et de réalisation interdisciplinaires et collaboratives pour améliorer le sort de ses clients et - en plus de cela - pour ajouter de la valeur, de la qualité et de l'attention à leurs organisations et à leurs produits.
notre öffre
vous participerez à la définition et au développement de nouveaux concepts et outils utilisés dans le traitement automatique et l'analyse des big data. Vous serez chargé(e) de :",3.7,"umlaut
3.7",Blagnac,De 1 001 à 5 000 employés,1996,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Ne sait pas / non applicable
Agronomical Data Analyst Scientist (F/M) - France or Hungary,40 k € - 45 k € (Esti. de Glassdoor),"Chez Bayer nous sommes des visionnaires motivés pour résoudre les défis de notre époque. Nous œuvrons pour un monde où La santé pour tous, la faim pour personne n’est plus un rêve, mais bien une possibilité. Nous agissons avec énergie, curiosité et un engagement absolu, en apprenant en permanence grâce à l’éclairage unique de ceux qui nous entourent, en élargissant notre réflexion, en développant nos compétences et en redéfinissant le champ des possibles. Il y a tellement de raisons de nous rejoindre. Vous avez envie d’une carrière pleine de sens, aux horizons diversifiés ? Vous souhaitez rejoindre une communauté qui se distingue par les esprits les plus brillants afin de contribuer au changement ? Le choix est simple !",4.1,"Bayer
4.1",Peyrehorade,Plus de 10 000 employés,1863,Entreprise non cotée en bourse,Biotechnologies et pharmaceutique,Biotechnologies et pharmaceutique,Plus de 10 milliards de dollars US
Apprentie Data Scientist,40 k € - 45 k € (Esti. de Glassdoor),"FIRMENICH est la plus grande entreprise familiale dans le domaine de la création de parfums et arômes alimentaires. Société suisse de dimension internationale notre passion pour les parfums et les arômes, notre créativité et notre innovation, associés à notre compréhension des perceptions sensorielles et des tendances ont fait notre réputation. Nos importants investissements en R&D nourrissent notre désir de comprendre, partager et réinventer le meilleur de ce que la nature nous offre dans le domaine des arômes et des parfums.

FIRMENICH emploie environ 10 000 personnes dans le monde dans 64 pays.

Firmenich recherche,

un(e) Alternant(e) Data Scientist

à compter de Septembre 2022 basé à Neuilly-sur-Seine

Type de contrat Apprentissage

Durée 24 mois

Localisation 41-43 rue de Villiers 92200 Neuilly-sur-Seine

Key Responsabilities

We value

Vous êtes reconnu comme une personne autonome, agile et allant de l’avant. Vous êtes reconnue comme une personne enthousiaste, avec un relationnel facile. Grâce à votre rigueur et le respect des règles et consignes, vous apprenez vite. Vous aimez apprendre seul, vous aimez suivre des protocoles.

Vous savez apporter des idées nouvelles, en respectant la forme et le fond.

Vos premiers stages ont confirmé votre intérêt pour le secteur BtoB et/ou BtC international et vous ont déjà permis de développer vos connaissances et votre motivation pour les métiers des Achats.


Profil

Master 1 Statistique biologie, Science
Anglais, Fluent

We offer

Firmenich Paris recense une communauté de 350 collaborateurs engagés, passionnés par leur métier, experts et aimant le partage de leur savoir-faire.

Notre communauté de salariés est très engagée sur les thématiques du développement durable, de la diversité et l’inclusion ainsi que les droits humains.

En tant qu’alternant chez Firmenich vous participerez à un parcours d’excellence, inspirant facilitant l’employabilité. Vous allez vous créer un réseau international en rejoignant un groupe de 30 alternants au sein d’une entreprise où le partage du savoir-faire est la clé de notre succès.

Durant votre apprentissage vous serez accompagné d’un tuteur expert qui aura pour rôle de vous former et de vous guider tout au long de votre intégration.

Nous offrons à nos salariés de nombreux avantages (Parking, carte tickets restaurants, télé travail, participation etc...)

#LI-FIR1",3.7,"Firmenich
3.7",Paris,De 5 001 à 10 000 employés,1895,Entreprise non cotée en bourse,"Magasins de chaussures, de vêtements et grands magasins",Vente au détail,Entre 2 et 5 milliards de dollars US
Data Scientist,40 k € - 45 k € (Esti. de Glassdoor),"Gather and analyze customer needs to propose solutions
Conduct statistical studies
Conduct research to propose new machine learning models to improve the results of predictive and imaging models
Work with all team members to prototype and develop new services
Provide deliverables such as PoCs, presentations, and technical papers.
yöu
Master's degree in engineering, computer science, statistics or mathematics.",3.7,"umlaut AG
3.7",Toulouse,De 1 001 à 5 000 employés,1996,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Ne sait pas / non applicable
Data Scientist H/F,40 k € - 45 k € (Esti. de Glassdoor),"Toulouse
CDI
Description du poste
Vous cherchez à rejoindre une équipe dynamique sur Toulouse ? Travailler dans un environnement Start Up avec les avantages d’une structure en pleine croissance telle que SOLUTEC ? Alors ce poste est fait pour vous !
Nous recherchons pour notre agence Toulousaine un(e) Data Scientist. Vous aurez pour missions :
Collecte des besoins des équipes métiers en termes d’analyse de données pertinentes pour l’entreprise
En tant que consultant, votre rôle comprendra également des aspects plus globaux, comme la veille technologique et le conseil auprès du client sur de nouveaux outils.
Issu(e) d'une formation ingénieur ou d'un cursus universitaire (Bac+4 /Bac+5, vous avez un vrai attrait pour les données. Vous avez dans l'idéal une bonne connaissance sur le langage Python (et/ou R). Attrait pour la Business Intelligence et les outils type Talend, Power BI, Qliksense, Tableau etc.",3.2,"Solutec
3.2",Toulouse,De 1 001 à 5 000 employés,Entreprise cotée en bourse,Services informatiques,Informatique,Entre 50 et 100 millions de dollars US,-1
Data Analyst-FIAT,40 k € - 45 k € (Esti. de Glassdoor),"Binance is the global blockchain company behind the world’s largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money.

Are you looking to be a part of the most influential company in the blockchain industry and contribute to the crypto-currency revolution that is changing the world?
Responsibilities:
Working closely with different stakeholders (e.g. Operation, Business, Product, etc.) to develop analyses that lead to actionable business or product insights",3.8,"Binance
3.8",Paris,De 1 001 à 5 000 employés,2017,Entreprise non cotée en bourse,Internet,Informatique,Entre 500 millions et 1 milliard $ (USD)
Data Scientist (H/F),40 k € - 45 k € (Esti. de Glassdoor),"Syngenta figure parmi les leaders mondiaux pour ses activités. Le groupe emploie plus de 28000 personnes dans plus de 90 pays qui n’ont qu’un seul objectif: exprimer le potentiel des plantes. Par nos capacités scientifiques de premier plan, notre présence mondiale et notre engagement en faveur des clients, nous aidons à accroître les rendements et la rentabilité des cultures, à protéger l’environnement et à améliorer la santé et la qualité de vie.
Plus d’informations sur www.syngenta.com
Nous recherchons un(e) Data Scientist, pour rejoindre l’équipe Support Commercial et Planning dans le cadre d’un CDI. Nous vous attendons pour un démarrage dans les meilleurs délais. Le poste est localisé à Guyancourt (station Saint Quentin en Yvelines, RER C, Ligne U et N).",4.2,"Syngenta
4.2",Guyancourt,Plus de 10 000 employés,2000,Entreprise non cotée en bourse,Production alimentaire,Agriculture et sylviculture,Entre 10 et 25 millions de dollars US
Audio data scientist,40 k € - 45 k € (Esti. de Glassdoor),"Vous aimez les nouvelles technologies et les technologies audio en particulier? Venez rejoindre une équipe d’experts de haut niveau appliquant les technologies de machine learning pour le traitement sonore.
Afin de développer son offre d’application d’outils de reconnaissance sonore, Wavely recherche un data scientist pour rejoindre son équipe technique. Celle-ci est dédiée au développement d’algorithmes de reconnaissance et de classification automatique des signaux sonores pour les intégrer au sein de capteurs acoustiques. Au sein de cette équipe :
Vous développez des outils de traitement du signal temps-réel pour la détection et la classification d’événements acoustiques.",4.5,"Wavely SAS
4.5",Villeneuve-d'Ascq,De 1 à 50 employés,2016,Entreprise non cotée en bourse,Solutions logicielles et réseau d''entreprise,Informatique,Ne sait pas / non applicable
Data Analyst H/F,40 k € - 45 k € (Esti. de Glassdoor),"Systèmes d'Information
COURBEVOIE(PLD)-COUPOLE(FRA)
France
Description du poste
TotalEnergies recherche un(e) Data Analyst. Le poste est basé à la Défense.

Pour réussir à intégrer les métiers de l’électricité et des énergies renouvelables, TotalEnergies a créé une nouvelle entité OneTech qui regroupe l'ensemble des expertises techniques et de R&D des branches (Exploration & Production, Raffinage Chimie, Marketing & Services et Gas, Renewables & Power). Avec près de 3 400 ingénieurs et techniciens répartis sur plusieurs sites en Europe, OneTech est organisé autour de 3 pôles, un pôle industriel pour accompagner la croissance de la Compagnie dans le gaz, les énergies renouvelables, l’électricité et la réduction des émissions de CO2, un pôle Recherche & Développement pour poursuivre la transformation de TotalEnergies en donnant la priorité au mix bas carbone et un pôle fonctions supports.
Dans un environnement en transformation avec des mutations technologiques rapides vous assurez la qualité, l’exhaustivité, la visibilité et l’accessibilité des données gérées par votre service et êtes moteur de la transformation Digitale.

Rattaché (e ) au responsable d’équipe Industrial Data, au sein d’une équipe d’environ dix personnes travaillant sur des projets Data Sciences, vos principales missions sont les suivantes :",4.0,"TotalEnergies
4.0",Courbevoie,Plus de 10 000 employés,1924,Entreprise cotée en bourse,Énergie,"Pétrole, gaz, énergie et services publics",Entre 25 et 50 millions de dollars US
Data Scientist - FRANFINANCE-(H/F),40 k € - 45 k € (Esti. de Glassdoor),"Vos missions au quotidien
Au sein de la Direction Datascience Marketing et Modélisation de la Division du Financement aux Particuliers, qui produit et distribue des crédits et des services auprès de particuliers en direct ou par l’intermédiaire de partenaires (distributeurs, assureurs, banquiers et fintech), vous rejoignez le pôle Datascience et Risque en tant que Data Scientist.
Le Data Scientist aura la charge de :
Assurer et faire évoluer nos reportings distribués aux différentes directions de FRANFINANCE (risque, finance, recouvrement, marketing) et à nos partenaires",3.7,"Franfinance
3.7",Nanterre,Plus de 10 000 employés,1864,Entreprise non cotée en bourse,Investissements bancaires et gestion d''actifs,Finances,Plus de 10 milliards de dollars US
Data Scientist (H/F),40 k € - 45 k € (Esti. de Glassdoor),"Date Limite Candidature : lundi 14 mars 2022
Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler. Les informations de votre profil complètent celles associées à chaque candidature. Afin d’augmenter votre visibilité sur notre Portail Emploi et ainsi permettre aux recruteurs de consulter votre profil candidat, vous avez la possibilité de déposer votre CV dans notre CVThèque en un clic !
Informations générales
Référence : UMR6205-EVAGOU-001
Lieu de travail : VANNES
Date de publication : lundi 21 février 2022
Type de contrat : CDD Scientifique
Durée du contrat : 24 mois
Date d'embauche prévue : 1 avril 2022
Quotité de travail : Temps complet
Rémunération : 2100 et 2400 €
Niveau d'études souhaité : Bac+5
Expérience souhaitée : Indifférent
l'évaluation d'indicateurs techniques permettant d'expliquer les variations des
actifs étudiés.
évolutions à court et moyen terme.
les modèles de gestions d'actifs développés.
sur les marchés de cryptomonnaies sous des délais courts (de l'ordre d'une
dizaine de secondes), et ce, en s'adaptant aux données observées en continue.
de machine learning ;
sein du laboratoire LMBA (Vannes).",3.8,"CNRS
3.8",Vannes,Plus de 10 000 employés,1939,Enseignement supérieur/universitaire,Organismes fédéraux,Gouvernement,Entre 50 et 100 millions de dollars US
Data analyste,40 k € - 45 k € (Esti. de Glassdoor),"Description
vrai plus, c’est que cette communauté est sans frontières ! Nos collaborateurs travaillent au quotidien avec tous les métiers et avec notre réseau international. Et pour être au top de l’innovation, on a ce qui se fait de mieux en matière d’environnement de travail et d’outils technos : datalab, delta room, intelligence artificielle, machine learning…
Résultats ? Une activité multipliée par 2 en 3 ans (et ce n’est pas fini), une expertise reconnue et une position de leader en France.
Bienvenue au cœur du big bang !
Le Centre de Services Data Management
Tu souhaites monter en compétences sur le traitement de datas ? Et si tu rejoignais le centre dédié à l’analyse de données/data management de PwC ?

L’équipe SODA basée à Montpellier est un Centre de Services Data Management d’une cinquantaine de collaborateurs en période de pic d’activité pour une moyenne de 40 à 45 collaborateurs, principalement composée Data Analystes et complétée par des développeurs de haut niveau.
Tout au long de l’année, SODA accompagne les équipes Audit PwC dans l’efficacité et la qualité des missions en proposant des services de traitement des données.",3.9,"PwC
3.9",Montpellier,Plus de 10 000 employés,1998,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Entre 5 et 10 milliards de dollars US
